000A94A0,"Faith: Let them try."
421F8829,"Good, we’re talking to the individual in question now."
42208E02,"KrugerSec Enforcers will be here to take me away. Maybe I’ll be sent to the Greylands, "
422E915C,"Why do you think that would bother me?"
423B461A,"Aline: Faith! The building is on full alert! Don’t let anything interrupt that virus upload!"
42462ACF,"LOADING PLAYER PROFILE DATA. PLEASE DO NOT TURN OFF YOUR XBOX 360 CONSOLE. "
42565039,"{0:d} / {1:d}  SECRET BAGS"
425A3B5A,"My associates tell me you never showed up at Sloth, Kristian. "
4262D2AB,"OK, Avani. This is the last recording I’m making here in Glass. "
426953D4,"Beatrix: Faith is helping me by planting these bugs."
427D8A1B,"Dispatch: Adam 8-1, what is your status?"
428B2E0A,"Or it could be some sort of surprise inspection."
428CC1F1,"Zephyr Transit Hub documents {0:d} / {1:d}"
42927BD1,"Faith: Damn it! Go faster!"
42B9F8C3,"FOCUS SHIELD +"
42C5C853,"PRODUCT MANAGER"
42C7BA21,"Faith: I’m out. Got the goods."
42D39C3F,"That’s enough. Let’s call it in."
42D6E63F,"VOLUME UP"
42DB7E51,"TECHNICAL DIRECTORS"
42E1796A,"Erika was born and raised in the city of Glass, her parents old already when she was young. They grew up under OmniStat rule and though they had misgivings about the direction new fledgling nation of Cascadia was headed in they claimed anything was better than the Party and its dogmas. Erika's father was a physicist and her mother a mathematician and they managed to instill in their daughter a deep love of the natural sciences and informed discussion. Being old, they both passed away when Erika was in her late teens, but their legacy was a young woman with a sharply honed mind and an informed, altruistic stance on the political shifts sweeping the country.  She met Martin Connors while at the university, and only two years later Faith was born – not planned but deeply loved all the same. In Martin Erika had found a kindred spirit. He might have been the more socially adept and overtly passionate of the two, but deep down they were the same.  As a mother Erika was quite stern, though she loved Caitlyn and Faith to death. She believed the sternness was needed because of the tough times she was certain would come. She also saw Faith turn into quite the little rebel, and though Erika endorsed free thinking and a healthy distrust of authority she didn't want her daughter to become completely wayward.  She never wanted to bring the kids along to the protest rally on that fateful day in November, but they couldn’t find a babysitter and Martin wanted his daughters to be part of what would surely be a historical event."
42F26491,"TECH AND STANDARDS"
42F70BE7,"Sargent, no, don't be silly, no, I mean what use is this gold to him? I mean he's got more scrip than he can spend in a life time."
43058D3D,"Subvert the gridNode CCU and connect it to your BEATLINK in order to expand your coverage in the city.  Hacking a gridNode opens up FAST TRAVEL options in the affected area."
431098FD,"MONITORING ENGINEERS"
43412E16,"Noah: I killed off Phoenix Carpenter’s biometrics. Told you that gridPrint would come in handy. Get on out of there."
4345A118,"Exit the gridNode"
4351FB00,"when they think back on the wrath you brought down on them. "
43554DB0,"FULLSCREEN MODE"
4356C203,"DELIVER THE CONTROL CHIPS"
435CE0F8,"DIVERSION"
4369316C,"PLM ASSOCIATE PROJECT MANAGER"
43728C74,"QA COMPLIANCE PROJECT MANAGER"
43742A68,"RUNNER BEATDOWNS"
4376AB94,"BACK IN THE GAME"
437F6268,"TALK TO PLASTIC"
4383EBD4,"Faith: I might have a way."
43893CC3,"Noah: I’ve been working hard to ensure that won’t happen to us. I really hope you didn’t just undo all that ..."
43905E65,"AUDIO ANALYST"
43933E28,"{0:truncate:16}"
43B41822,"Put it on. We need to get you connected and calibrated. I know Noah is eager to talk to you."
43BCDBA1,"SENIOR BUSINESS ANALYSTS"
43C2F8D1,"Icarus: I’m half-way there already. Let’s see if you can catch up."
43CC55D7,"QA MANAGERS"
43D55083,"The flower is an orchid, and my brother gave it to me. He misses me just like I miss him, but there's no way back for me now. I'm committed to Rebecca and Black November."
43D86697,"THE BEAT COMPANION APP"
43E46ABD,"RE-RECORDING MIXER"
43E76D6F,"GO!"
43EF63E0,"Faith: Don’t bring him into this."
43F5A6D7,"SENIOR DIRECTOR DIGITAL SALES"
43FEBD1C,"OLD FRIENDS"
4403CB18,"One less leech. Let’s call it a day."
44080463,"READ DOCUMENT"
440894F2,"It’s been a week since I went topside. You know what it’s like."
4419F6AC,"Rename your challenges"
441D4321,"Movement: RELEASE"
442A7127,"DATA SCIENTIST"
442C1A2E,"Rewarded for completing 40 opportunity missions"
44318430,"RAIN TEAL"
443966DC,"They must've stolen something really important too, considering the buzz all over town."
443BEC14,"Noah: I’d rather have dinner with Gabriel Kruger."
445B5601,"Aline: I’m not sure they’ll handle well in the thinner air up there, Plastic."
446B12D6,"Rebecca: Well, there’s a foodDome near Hale City which needs someone to incite a loCaste rebellion."
44757A78,"REPLAY IS NOT AVAILABLE WHEN ALREADY ON A MISSION"
4479668F,"Icarus: Great landing!"
44833821,"Noah: When you get closer you’ll know the marks, Faith. Just follow them home. And then we should see about getting you reintroduced to the world. I've got a run for you that should do the trick."
4498C8F1,"VISCERAL"
44C180A1,"I have a new food delivery for you. Oysters, just in from a Greyland enclave down the coast. Needless to say Dogen expects these to be delivered fresh so be careful. It’s kind of absurd that they are considered contraband, but you know how it is."
44CED02A,"Plastic: Faith did it!"
44CEE401," GPR SUBMISSIONS PLANNERS"
44D3B2CE,"Noah: I guess we’ll find out in time."
44DE65A9,"Icarus: That’s some diversion ... Route B is clear. Working on Route A."
44DE9FF2,"{0:input}(HOLD) TO SWING"
44E1C86A,"Plastic: Well ... she might also have to hack a gridNode for me ..."
44EA3E82,"Nomad: I got almost everything I need. Just a few more cans."
44EEAF8A,"BACK"
44EED2F6,"KEY BINDINGS"
44F4CA2E,"MENU"
44F80468,"SAVE"
450249DA,"Crystal Valley"
45047948,"Well, you’ll just have to trust me."
450A7785,"Plastic: Well, I think it’s stupid and pointless."
4515F268,"DISABLE GPU MEMORY RESTRICTION"
45181386,"Bug planted, and I’m out of here. Just a little while longer"
451C5925,"Warning. Tuned mass damper no longer supported. Building integrity at risk."
4542B907,"I was there, Doctor Malus. I know what happened. "
454C9C68,"Plastic: The next part is quite damaged as well from what I can see. You’ll need the MAG there too."
4556A2DD,"Rebecca has asked you to help out with DEFENDING the Black November hideout. KrugerSec are creeping into the tunnels where they intend to set up automated turrets called SENTRY DRONES.   You intend to stop them. "
45621181,"Faith: Always am."
457ABAE8,"ORIGINAL MUSIC RECORDED AT"
4588473E,"Nobody knows who you are. Nobody has even seen you before. "
458DAD0F,"Rebecca has another MISSION for you. It's obvious she wants you to become more involved in Black November's struggle against the CONGLOMERATE and though her methods are questionable, it might be prudent to stay on her good side by helping out."
45A01A16,"DASH"
45A06631,"Faith: Did they stop all maintenance while I was away?"
45A4AAB0,"Henchwoman: There you are."
45A6DFB3,"QA TESTERS"
45B66418,"DEMO CHALLENGES"
45C26DB9,"PROGRESSION"
45D9E759,"Icarus: I’ll go the other way. Meet you up ahead."
45DA5B13,"CUBIC MOTION"
45DE6564,"Noah: The authorities tolerate us because they need us, Faith. I know KrugerSec subdues up runners all the time, but its mostly pretense. They still allow us to exist. As long as we stay in line."
45E026F7,"DIRECTOR OPERATIONS"
45E1FC98,"ALTERNATIVE"
45E22B8F,"FRENCH"
45F775B3,"Icarus: Never thought I’d say this, but you sure are a sight for sore eyes, Faith."
45FC8FE7,"GHOST GAMES SUPPORT POD"
45FE171D,"This package contains a sapling and it’s quite delicate. Not that I expect you to understand advanced biochemistry, but this little fellow might just solve some of the nutritional problems they’re having up north. Get it to my associate and don’t damage it. Also, it’s in Kruger’s interest that this research is stopped, which is why I’m using your services."
46096039,"VOICE OVER DESIGNER"
46166681,"{0:input} SHIFT"
461EE255,"Any corporation that gets its corrupt hands on it will only bury it deep down where it cannot disrupt the power structure they’re so carefully erecting. "
4624D4AA,"NEW SAFE HOUSE UNLOCKED"
462A194A,"I can report that our hiCaste friend is very attentive. We’re not yet done though."
46340A6D,"So I have to record a “fail” message too? This delivery can’t fail! My career depends on it!"
463562DE,"DEAD DROP DELIVERY"
46443409,"Noah: KrugerSec reinforcements are converging on the building, Faith. Get out fast."
4644DA27,"CONTROLLER VIBRATION"
464D4FE2,"MIGRATION"
464FCDD6,"Reveal gridLeak locations"
46587C80,"SOCIAL CONTENT DISABLED WHILE ON MISSIONS"
46679F69,"UGC contains profanity."
4668332C,"Automated Voice: Override requested ... Override approved. "
4669CAF8,"TECHNICAL DIRECTOR"
466F263A,"Nice hearing your voice again. How are things below?"
467985D4,"Faith: Hey, Nomad! How’s it going?"
4687BCCB,"FREE CAM"
46881B3C,"Dispatch: Adam 8-1, respond."
468B5A08,"Nomad: Funny. Did you just come here to crush my self-esteem or are you up for some actual work?"
468F28B6,"LOCALIZATION VOICE TALENT MEXICAN SPANISH"
469E8ABF,"Rebecca: I had several talks with Isabel Kruger. An interesting and confused young woman. She really believes in the Conglomerate. Her father taught her well."
46ADBF11,"Allows Faith to see, and communicate on the Beat.   Can wirelessly auto-hack mid/low level Grid connected systems."
46BE2DC2,"Look, I don’t really want to do this. Why won’t you talk to us? Now we’ll have to beat it out of you."
46CDEC6B,"RUNNER TAG EMBLEM"
46CF727E,"Ah wonderful, the vials are intact. If you see our mutual friend, tell him the experiment is proceeding as planned, and I will soon be in contact again."
46D8500C,"©2014 Łukasz Dziedzic & Adam Twar­doch   Lato Font is licensed under the SIL Open Font License, Version 1.1 available with a FAQ at: http://scripts.sil.org/OFL     ----------------------------------------------------------- SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007 -----------------------------------------------------------   PREAMBLE The goals of the Open Font License (OFL) are to stimulate worldwide development of collaborative font projects, to support the font creation efforts of academic and linguistic communities, and to provide a free and open framework in which fonts may be shared and improved in partnership with others.   The OFL allows the licensed fonts to be used, studied, modified and redistributed freely as long as they are not sold by themselves. The fonts, including any derivative works, can be bundled, embedded, redistributed and/or sold with any software provided that any reserved names are not used by derivative works. The fonts and derivatives, however, cannot be released under any other type of license. The requirement for fonts to remain under this license does not apply to any document created using the fonts or their derivatives.   DEFINITIONS """"Font Software"""" refers to the set of files released by the Copyright Holder(s) under this license and clearly marked as such. This may include source files, build scripts and documentation.   """"Reserved Font Name"""" refers to any names specified as such after the copyright statement(s).   """"Original Version"""" refers to the collection of Font Software components as distributed by the Copyright Holder(s).   """"Modified Version"""" refers to any derivative made by adding to, deleting, or substituting -- in part or in whole -- any of the components of the Original Version, by changing formats or by porting the Font Software to a new environment.   """"Author"""" refers to any designer, engineer, programmer, technical writer or other person who contributed to the Font Software."
46D860C2,"Noah: Sounds good, Icarus. We still have a game to finish."
46D8E7F7,"Centurian Yards"
46E0CD33,"How's he gonna do that?"
46F3D68C,"Automated Voice: Attention. This is a KrugerSec announcement. All train service too and from Sky City has been temporarily suspended. Those wishing to leave the island must report to the local security office for processing."
46F4A439,"Automated Voice: Look in the mirror to see your better self. Sign up for Reflection today."
46F7BCCD,"SOCIAL CONTENT SELECT"
46FC3D2C,"{0:input} next to a surface"
47019D08,"Get a nice place out in the grey lands. Where you sit on the porch with your husband, nod to your neighbours and flip 'em the finger every morning. "
4709253F,"Faith: Yes it is."
4717D69E,"Rebecca: Faith. KrugerSec are getting wise to your presence. Expect more of them at the second sentry drone."
47194AE6,"STRAFE RIGHT"
47194AE7,"WALK FORWARD"
47194E15,"EA ROMANIA QA"
47206E55,"Nomad: Well you know, living. Surviving. I missed you."
472427DD,"Most objectives and Challenges are disabled during a K-Sec alert state. Escape the threats by outrunning KrugerSec. Getting to a SAFE HOUSE or SAFE AREA triggers an immediate escape."
4739C59D,"Plastic: You can reach the lobby through the ventilation ducts."
473AB506,"I don't know. They must have been placed here in preparation for something."
474CA1F0,"Icarus: Faith, we gotta hurry!"
474E4C99,"Faith: Got another one."
47533213,"GERMAN"
4757B6F3,"ENEMY STAMINA BARS"
475FF9DD,"DIALOGUE DIRECTOR"
4768D67C,"HOLD {0:input} TO GO ONLINE"
4770AE34,"Floor 34. Lobby."
47741AB2,"Oh. I thought…"
477E6632,"Yeah, so I told mom I’ll come over sometime next week and now she’s pestering me about what I want for dinner, and exactly when I’ll show up and--"
47848243,"Perform an ENVIRONMENT COMBO"
479D605C,"SYSTEM ENGINEERS"
47AC7214,"EXCERPT FROM “A VISITOR’S GUIDE TO GLASS”:  The Anchor district is one of the main commercial and entertainment area in Glass. Though Sky City residents tend to keep to themselves and not mingle with the regular employs, some, and especially the young, make frequent visits to “The Anchor”. They come for shopping, and clubbing at the most popular nightclubs in the City – including the fabled “Sloth” where only the very select elite is allowed entrance.  Employs of all castes can satisfy every material need imaginable at the Anansi Emporium or the Pirandello Bazaar. Here they’ll find everything from the rarest of imports to the most common consumer goods. And if you’re looking for a new set of wheels the Bryson Showroom showcases the latest in automotive design. It might be that all of these locations will be surpassed by the magnificence of the soon-to-be-opened Bauble Mall, but we suggest that you come and judge for yourself.   AREAS OF NOTE:  Shimmering Heights  Crystal Valley  Eden Village  The Bauble Mall"
47BC0F65,"LOCALIZATION AUDIO CAPTURE"
47BD8875,"Dogen: Are you having second thoughts, Faith? Anansi is not exactly a force for good. Every day loCaste are dying in the Greyland factories, producing toothpicks and diapers for the midCaste here in the city. Do this for them, if not for me."
47C64AD8,"SYSTEM LOCKDOWN IN {0:time:mm:ss.ff}"
47CF9419,"+ Main Mission: Tickets, please + Side Mission: Exit Strategy"
47DD6FDF,"You're not a member of any cabal I know of. What's your name?"
482B312F,"BY {0:truncate:16}"
4842202F,"{1:input} to SWING JUMP or DROP off  Swing on, off and around pipes, bars or horizontal wires.  Balance across thin objects and wires."
48465DC0,"Erika: Faith! Cat!"
48486DC2,"Faith: Hey, you guys - woah! There is a huge hole in the wall here."
484F9E31,"ORIGINAL MUSIC PREPARATION"
485449CF,"Faith: Then the guy who had it must’ve been an OmniStat spy or something."
486C7DF8,"Divisions are based on the average positions on the global Dash leaderboards. Improve your results to rank up!"
4875A3F7,"Rebecca: It is. Here’s the dataTap. I’ll send the antenna location to your beat."
487C37FA,"SENIOR DIGITAL COMMERCIAL MANAGER"
487F90C5,"Noah: Keep at it until you can do better than the time posted on the Beat. It’s the only thing anyone looks at these days."
4892BAF8,"You've reached the area where the other runner is hiding. Clear out the KrugerSec PATROL either by taking them on yourself or luring them away using Plastic's suggestion."
4894508B,"CHARACTER TEAM"
48A404DD,"Continue"
48AE952C,"TOGGLE MAIN MISSION"
48B200CC,"TOGGLE SIDEMISSION"
48C4435C,"Icarus: I’m at Orion. Looks like an old runner safe house. What happened here?"
48C6C00B,"OPERATIONS LIVE"
48CB0F62,"OPERATIONS TEAM"
48CD104A,"Complete mission OLD FRIENDS"
48E63D56,"Noah: Don’t you want to “Become the Grid”, Dogen?"
48E69AE4,"Plastic: Sure."
48F98B04,"Hey, over here. Quietly please. There are KrugerSec everywhere."
49085542,"EA LEGAL"
49310C52,"INCREASED DAMAGE TO PROTECTORS  A breakdown of the defensive training and armor specs"
493FC3C6,"NOAH KEKAI"
4954CF4E,"LAUNCH DIRECTOR"
495D8B3A,"Automated Voice: Attention! Interaction with Runners is against Conglomerate policy and will warrant immediate deportation to the Greylands."
496BFF48,"DOWNTOWN, LO- & MIDCASTE. POP 10000"
4974BF60,"INDUSTRIAL LIGHT AND MAGIC"
4977F255,"SENIOR ANIMATORS"
497C39D4,"SENIOR ENGINEER"
497CAD85,"PROJECT COORDINATORS"
497F37EE,"Strategic switching of places with an enemy"
49846775,"Automated Voice: Attention! If you always excel at everything you do, you will be rewarded every day. If you never excel, you will never reap the true fruits of your labor. Dedicate yourself to excellence. Don't be satisfied with less."
49A63D9D,"Faith: Seems my beatLink lost contact."
49B4EC60,"THE STAR WARS ARCHIVES AT SKYWALKER RANCH, PART OF THE LUCAS MUSEUM OF NARRATIVE ART"
49BC3E83,"Here they come. Wait! There’s no need to--"
49D02877,"STUMBLE Protector into other Protector"
49D7597D,"SELECT"
49E2C13C,"DIGITAL OPTIMIZATION"
49E354E5,"Delivery received. Scrip transfer complete. Thank you."
49EB58BE,"DEFAULT"
49EDEF52,"COMPLETE"
49FC9749,"Follow Icarus (legacy)"
49FF54C6,"Faith: So what did you make of the info?"
4A08A83E,"Pick-up noted. The package contains a delicate sapling. Please ensure that it reaches it’s destination unharmed. It might just hold the key to solving the nutritional problems they’re having up north."
4A195001,"I trust Dogen, or whoever gave this to you told you to stay out of sight. Of course he did or you wouldn’t be here. Thank you for delivering the item. Now my family can relax. Scrip will be forthcoming."
4A239F46,"You’re Faith, aren’t you? Did Plastic send you?"
4A2F75DE,"Rebecca: We’re about to spring the ambush. I want both routes clear, you understand?"
4A34AA6B,"There, the man now fully understands what is expected of him. Just allow us to gracefully extract before you end this."
4A365DEF,"Read more"
4A43B39E,"you are failing at it miserably."
4A68D395,"Noah: Faith should be getting out of there, Plastic."
4A69DA92,"Plastic: No, Kuma. He’s been acting up all day. You better get out of here, Faith."
4A748E7F,"FOLEY RECORDING ENGINEER"
4A79B75B,"I'll try to get in touch with them, see if they will tell us more."
4A8D9943,"Pick up Mag Rope"
4A9D7865,"Plastic: And ... it’s on. Keep going, Faith."
4AB80DC5,"Plastic: The gridNodes make the Grid. All data in Cascadia is routed and filtered through them by AllCom."
4AC33DDE,"I only asked to be transferred to this company to get my tour cut short."
4AC9ECED,"ESCAPED ALERT"
4AC9FD45,"Faith: I’m in."
4AEB7FAB,"TRIM BACKWARD"
4AEB87C0,"INSTALLING GAME COMPLETE"
4AEE57EC,"Don’t worry. I’m safe. And I’m in Glass. I just ... "
4AF54F8B,"TRY AGAIN!"
4AF559A9,"Plastic: What, Kuma? No, don’t crush that!"
4AF6B7BB,"Plastic: It’s there! You need to catch it before they leave. Follow it and then use the MAG to attach to it when they stop to hover!"
4AF9D2C9,"Half-way there."
4B06E331,"ADDITIONAL"
4B196E66,"CAUGHT IN THE WEB"
4B28BD9A,"{0:d}"
4B391BC9,"{0:input} + {1:input} to STUMBLE a Protector left or right COMBAT SHIFT to reposition"
4B39432E,"Faith: Is this what the employs see all the time?"
4B3B0682,"AN EAR TO THE GROUND"
4B3E2CA5,"{0:s}"
4B41EF07,"AMBIENT OCCLUSION"
4B45F8C3,"Faith: Sure. Shouldn’t be a problem."
4B528477,"GOD MODE"
4B52A774,"(composed by), (P) & © Lucasfilm Ltd., All rights reserved. Used under authorization, Published by Bantha Music [BMI], Administered by and/or co-published with Warner Tamberlane Music Publishing Corp. [BMI]"
4B54E1AC,"You’re right, and I didn’t expect that part to be easy."
4B56F31A,"MANAGEMENT"
4B56F4F2,"Faith: Looks like they’re evacuating."
4B59706C,"SOFTWARE ENGINEER CO-OP"
4B662E67,"START"
4B68756A,"THE OMNISTAT TUNNELS"
4B72701A,"Time Left: {0:d}: {1:d}"
4B7C9545,"KrugerSec have been busy setting up some kind of antennas on the rooftops lately. Each antenna is protected by a squad of KrugerSec personnel. Disabling them will reflect poorly on KrugerSec. It will also call a city wide ALERT and K-Sec forces will try to chase you down.  Disable Security Hubs across the city to gain EXPERIENCE. But be aware that disabling an antenna will cause a CITY ALERT."
4BA819B0,"Good. Make sure it stays that way. We need someone on the inside. "
4BBAFA13,"Faith: So what’s the ride you got waiting?"
4BBFC9E7,"Eden Village gridLeaks {0:d} / {1:d}"
4BCD7FAA,"PRESS RIGHT and ATTACK to move enemy"
4BD1E952,"RECORDING +{0:d} XP"
4BD25992,"Plastic: I guess you attacked them. Good! Kuma is cheering you on!"
4BDB0D10,"Faith: Yeah. I was stupid. Where can I find these boxes?"
4BE0DED3,"Aline: You’ll need your Cyclone glove to continue upward. See if you can find an attachment point somewhere."
4BE0E1A8,"Beatrix: The restaurant has an outside terrace where Peter usually sits. Place the bug there."
4BE53688,"DIGITAL SALES ASSOCIATE"
4BE7C2C0,"Dogen: Or maybe we’ll have duck. I’m expecting a shipment from Cascadia Prime any day now. You’re not invited Noah."
4BE7E063,"Well, we can't just sell it."
4BF24B71,"These are used to monitor and survey all regular employs. Disable them to decrease KrugerSec influence across the city.  WARNING: If you mess with these installations, K-Sec wil be alerted and come looking for you."
4C0CA8C3,"Kruger: With Reflection I can drive you insane if I want to. You’ll be unable to separate happiness from pain. Pleasure from sorrow. And if you ever meet Faith again she’ll be disgusted by the drooling husk of a man that you’ve become."
4C1DB812,"ASSOCIATE ONLINE PRODUCT MANAGER"
4C283FD4,"Rebecca: Faith. Come talk to me. We’re planning a mission I think you want to be a part of."
4C2E3859,"I look forward to it. I’m gonna be as good as you some day."
4C330291,"Plastic: Thank you, Faith."
4C3311E2,"SENIOR MANAGER"
4C35F910,"LOCALIZATION DEVELOPMENT MANAGERS"
4C3752EC,"PRODUCTION ANIMATORS"
4C407B30,"SCREEN HACKED"
4C434122,"Plastic: I can override that long enough for you to get off somewhere in the View."
4C49528F,"Icarus: Wow, KrugerSec really means business ..."
4C51BB8C,"Kruger Sec have set up Security Hubs all over the city."
4C59A8BE,"CERTIFICATION TEST SPECIALISTS"
4C682165,"Faith: What discussion? When?"
4C6FAB10,"Faith: I’m at the crane, Icarus."
4C6FBB97,"COMMUNITY MANAGER"
4C7A922D,"COMMUNITY SPECIALIST"
4C7AAE87,"{0:input} JUST BEFORE GRABBING A LEDGE  Quickly MANTLE onto an object with some momentum to avoid a LEDGE HANG."
4C7BFB54,"Defensive increase 3"
4C8095E0,"SECURITY HUB"
4C9E8082,"Faith: I’m at the CCU. Connecting."
4CA74395,"CHIEF MARKETING OFFICER"
4CB0985E,"QA TEST LEAD"
4CB32AE9,"HELPFUL"
4CB8F181,"HIGH"
4CC62500,"Hey, I’m here."
4CD2D3EE,"You must have an EA Account to use social features."
4CD62713,"I urge you to not take this delivery lightly. Destination uploaded. Payment awaiting confirmation."
4CE7726A,"Attack {0:input} KrugerSek Guard."
4CF798B5,"Documents and surveillance recordings hold all kinds of important insight about the city of Glass and its citizens. Most are scattered along the city rooftops, while others can only be found during missions."
4CF7DDAD,"Faith: I do. Here."
4CF8A077,"Created by {0:truncate:16} {1:date:yyyy-MM-dd}"
4D0189E5,"Automated Voice: Attention. This is a KrugerSec announcement. It is the responsibility of all employs to keep their gridPrints up to date and valid. A compromised gridPrint may be considered a breach of policy."
4D025792,"Automated Voice: Don’t be left behind. Get Reflection today. Available at your nearest clinic."
4D0D33AE,"YOUR ECHO"
4D0F22FB,"Plastic: The alarm is about to go off, I couldn’t delay it any longer without risking blowback."
4D107026,"RELEASE MANAGERS"
4D130CEC,"CORE QA COMPLIANCE"
4D1AB25C,"Plastic: Faith, I know how to get you to the Shard. If you could help me access the City Transit Control Hub, we could send a train out there with you on it."
4D223338,"Massive damage from environments"
4D3A0976,"After the riots, we spent a week holed up in my apartment. The statue was standing on a table in my living room. We used to joke about it being there, present for all our conversations, looking at us with unseeing eyes, listening but not hearing, still registering everything."
4D4DA02F,"Dogen: She must be desperate, coming to me, considering why she left all those years ago. I wish ..."
4D4FC51D,"{0:input} on certain vertical objects"
4D70BE35,"LEGAL COUNSEL"
4D70DD23,"DIRECTOR GLOBAL MEDIA"
4D733FE5,"I'm afraid I have some bad news. I know I promised to get you to your parents, "
4D74B9D3,"ANIMATOR"
4D74B9D4,"ANIMATORS"
4D75BCD9,"{0:input} enemy one more time"
4D83C9A4,"Transference"
4D88CA05,"LUCASFILM LOCALIZATION TEAM"
4D8D0624,"Faith: I can get in through that fan, but I need to shut it down."
4D8EE11F,"Plastic: Of course not! I’m not a god. There is no god."
4DB5411C,"HIGH ROLLER AVENUE"
4DB5411F,"BACKSTREET BLUFF"
4DCA5B24,"I just don't see what Kruger’s doing here in the middle of the night. They say he just arrived."
4DDCE66B,"Faith: I got runner's vision again. Good."
4DDE6904,"DIRECTOR OF PRODUCT MANAGEMENT"
4E0E9617,"PIGEONS DOWN - THALIA"
4E12C95A,"I’m just not sure what she feels. I mean she obviously like me enough to agree to meet, but I’m not sure if it’s enough."
4E19C183,"Birdman: These days all packages are beatLinked so you should see the delivery point on your map. I remember when you had to make do with an address and what was in your own damn head."
4E3132A4,"ABOUT TITLE"
4E3F3B8C,"There. We’re done. That man is now ready to make the investment Dogen was counting on him to make. All is well. Thank you, runner. Scrip has been transferred."
4E44A9E1,"Faith: That’s a big ... fan."
4E523A7B,"FORCE RECALCULATION?"
4E56A9CE,"Faith: Now!"
4E769797,"ALL CHALLENGES"
4E84447D,"PLACE CHECKPOINT"
4E9CC6D4,"ENGINEERING PROGRAM MANAGER"
4EA713B0,"NO "
4EB655AC," For our friends at UPRISE"
4EBBBFAE,"HALFTONE BLACK"
4EBD8F04,"Grappling Tip"
4EC277CF,"SOFTWARE ENGINEER"
4ED57973,"Just saying. If she escaped Kruger himself she’s probably quite capable."
4EE846FB,"CLOUD ENGINEER"
4EE86E56,"Dash: {0:s}"
4EEA73C8,"Faith: Want me to break his wrists?"
4F028DD1,"INTERNATIONAL PRODUCT MARKETING"
4F085906,"Rebecca: Good. Two more to go."
4F15EED4,"You have too many public UGCs. Make one unlisted to make this one public."
4F354470,"Nomad: Noah has had the cabal keeping a pretty low profile, slowly building their rep. Guess that’s changing now, huh."
4F3C5916,"AN EAR TO THE GROUND"
4F414E03,"Icarus: We’ll split up again. Keep them confused. Can you make it across to those pipes?"
4F61584A,"Plastic: Then maybe Icarus can leave. Kuma thinks it’s crowded here."
4F67DD68,"Are you there?"
4F6B3E93,"Automated Voice: ""Attention! LoCaste caught begging for food or scrip will face deportation to the Greylands. MidCaste caught giving food or scrip to loCaste will also be deported. Don't break Conglomerate Policy."""
4F6E9028,"FAVORITE"
4F7B1E3E,"DEVELOPMENT ZONE"
4F921ACE,"Automated Voice: Attention! The future is bright for Cascadia and brighter still for its many dedicated employs."
4FA1E82D,"Movement: CLIMB"
4FC8C8AA,"Faith was seven years old on the day of the November Riots and barely got away alive, saved by Noah Kekai, a friend of her parents. He became her adoptive father, raising her on the rooftops far above the city and inspiring her, though that wasn't his intent, to become a Runner. He has made sure to keep her out of the conflict between the Black November resistance movement and the Conglomerate, and Faith has adopted his neutral stance into her own.  Though deeply scarred by the loss of her family, Faith has grown to become a self-assured, even cocky, young woman. A thrill-seeker, she runs more for the kick of it than for the money it pays. But deep down she knows that her current way of life can’t last, and that one day she will be forced to take a real stand against the Conglomerate."
4FEDB28B,"and I can’t let him find me. Not yet. He’s not dangerous. Or rather, he’s very dangerous. "
4FEEFDD0,"Icarus: Damn it. I never thought they’d go this far. We have to hurry!"
4FF27184,"His cousin, yes!"
4FF9267E,"I don't know. I'm not the brains of this operation. "
50169222,"Nomad: But I guess he got scared of being found out. Hopefully he’ll still have those docs at home."
502A613A,"Collect 20 electronic parts"
502A613B,"Collect 60 electronic parts"
502A613C,"Collect 120 electronic parts"
502A613D,"Collect 251 electronic parts"
502AC558,"DRONE WORKS"
5037DCE9,"SENIOR ANALYTICS MANAGER"
503F75A3,"Hold up, hold up! Did you just call Gabriel Kruger Gabe?"
5041F140,"SURVEILLANCE RECORDINGS"
50432F33,"SUBTERRANEAN LOVE"
50457287,"Dogen: If you have to abort, there’s not much I can do, is there. I still want this investigated when you have the time. "
5048B43B,"ADDITIONAL ENVIRONMENT ARTIST"
50669AD8,"Periodically awarded for participation in events"
506C04DA,"TRIANGLES GREEN"
506E8CBD,"Finding information is hard."
50791C2D,"Damn. I should have expected this. I’ll talk to him. Work out some kind of trade. "
5085C083,"Complete the pre-order incentive"
508ABC01,"Plastic: Do you want me to shut off the feed?"
5092BEFA,"Hey. Over here."
50A0366D,"Safe Houses provide opportunities for runners to rest and HIDE from KrugerSec pursuers. Especially useful if you caused an increased ALERT LEVEL in the city.  Entering a Safe House will clear any ongoing ALERT and the hunt for you will be called off. You can also FAST TRAVEL to these locations from anywhere else in the city, but this requires that you also SUBVERT the nearest GRIDNODE. "
50A40E7D,"Faith: Nice."
50AA5C4A,"HYPER"
50AAF950,"Really well!"
50B99CB2,"Massive damage from above"
50BF6275,"He threatened me. He actually threatened me!"
50C3358F,"This isn't your work station anymore. "
50CF2A52,"There was another girl, in class. "
50D28E0F,"Rewarded for completing Running Errands"
50D29194,"DUPLICATE KEY BINDING"
50D4D4D0,"CASCADIA LOGISTICS"
50D7F811,"TRIANGLES BLUE"
50E88C38,"Black November leech!"
